Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
96429.2821933261,8.550228130819502,2.9055132346892263,2.2307013434708343,491569.46541159414,18334.28054438921,Dasarahalli(srinagar)
90642.69810088573,11.758694858428264,2.9595864189550745,3.9124702961491677,528642.3599361074,46615.03642575595,Kumbalgodu Gollahalli
91969.34403926149,25.54085652923805,2.1183701008886664,3.5214230534867657,765767.5729953796,47724.423477774566,Bannerghatta
87330.77484813496,9.73763609718122,2.5568671561837966,3.7045407113364095,363272.0530556793,27927.950878825897,Kumaraswamy Layout
86530.0895928613,7.791503666663051,2.032627140898998,2.3066017237593637,481864.6098400288,37560.66408974276,Panathur
61855.002658082005,10.170150877011874,2.816202972753022,2.0806178271538416,712908.8291558258,29828.06665437882,Bellandur
88747.44025236886,29.02807744434769,2.189043411918246,2.084859574018639,498280.5760672311,47820.96427478862,Bannerghatta
57523.41311375721,14.397941696070072,2.0676273808494154,3.2423545977129713,481004.5638603832,19058.015786029948,Chikkalasandra
67964.29766019945,10.882872179236028,2.5722624239291227,2.503187690680131,582471.4603191263,46891.89970898648,Mallathahalli
86607.06060856939,9.920367364408795,2.4048903747141246,2.260841708834158,525542.1427445598,48716.28675720835,Begur
57248.332261346775,26.360568352094138,2.2004546255548765,2.1185248739999336,755837.7679135546,45565.47772253761,Chandapura
57554.167457966876,21.120464576621313,2.958983572332568,1.9797384075264852,517034.2143141038,40647.83348608946,Kumbalgodu Gollahalli
81058.63709229507,20.042786790945566,2.739384067751205,2.71045266256738,718852.2798817941,28765.183922318887,Bolare
51475.51624038944,28.436724731743748,2.956317295314234,2.9096786174119957,363887.608795878,48146.21479339036,Chandapura
58093.19722031965,13.86203705975454,2.7265684922136915,2.4412088333831337,963636.0409893829,15094.028633412934,Madhavan Park
94159.25589671117,20.51322898331818,2.794180888213887,3.3453408651764,929173.2616345292,44300.25443666449,Bommasandra Industrial Estate
46954.90740778254,21.009653153112346,2.1272620938025435,3.620586441609208,916916.0651216914,45720.43211225068,Koramangala Vi Bk
42897.33888520848,29.798500813162736,2.0096124645506848,2.227164144945175,902487.1372176321,25870.259849700175,St. John's Medical College
93899.20422099586,21.256507669563774,2.5101630703811324,2.8586176647529697,897089.7579824298,19625.284969041193,Basavanagudi
57431.07529028815,21.540652824020786,2.4183565537894793,1.7564917480039592,299193.0823031119,33811.30864578974,HSR Layout
71457.2619641934,5.840604164431339,2.5376101657220307,3.812771250912234,391473.6385970636,32734.332106295667,Koramangala Vi Bk
48904.19107107006,14.653736355836093,2.988250276056305,1.2903477581555276,557681.9737958909,20626.12579128505,Devanagundi
45694.74384874487,10.20787342373066,2.4360048820793123,1.647999613001129,986567.4948337999,44626.778470158766,JP Nagar Viii Phase
70169.55576629816,14.186314800044324,2.577684132094305,3.399473178554692,355721.2628929595,42990.055507311,Whitefield
68066.79511654426,23.62545361975596,2.728168627677677,2.493504318249215,474534.24607154896,31814.601141380357,Bolare
64052.46015778927,20.603890446749496,2.29862158406325,1.3323193299736489,484129.5335761757,41225.26425820828,Wilson Garden
